platform,workload,run_id,invocation_id,mem_limit_mb,cold_start,concurrency,queue_delay_ms,duration_ms,cpu_time_ms,rss_mb,peak_rss_mb,io_read_bytes,io_write_bytes,energy_joules
docker_ubuntu22_on_ubuntu20,cpuintensive,ba607f44-2def-470f-84ed-e30b36498c5e,9497f9a1-2754-4384-9ee8-650261eb69ee,128,False,1,0,1150.0,1150.0,7.78515625,7.78515625,0,0,24.8634
docker_ubuntu22_on_ubuntu20,cpuintensive,ba607f44-2def-470f-84ed-e30b36498c5e,28265ae9-4a55-468d-ad34-113f2f555084,128,False,1,0,1190.0,1180.0,7.875,7.875,0,0,28.149281
docker_ubuntu22_on_ubuntu20,cpuintensive,ba607f44-2def-470f-84ed-e30b36498c5e,847064c8-320f-49be-9e65-87e9da048b3d,128,False,1,0,1150.0,1150.0,7.875,7.875,0,0,24.177978
docker_ubuntu22_on_ubuntu20,cpuintensive,ba607f44-2def-470f-84ed-e30b36498c5e,923db198-4f50-4a86-befa-ec8945af0f41,128,True,1,0,1170.0,1170.0,7.7109375,7.7109375,0,0,40.633563
docker_ubuntu22_on_ubuntu20,cpuintensive,ba607f44-2def-470f-84ed-e30b36498c5e,4849ecb6-46ef-4700-a68c-113f46cb400a,128,False,1,0,1190.0,1190.0,7.6640625,7.6640625,0,0,51.796254
docker_ubuntu22_on_ubuntu20,cpuintensive,ba607f44-2def-470f-84ed-e30b36498c5e,9ea6e998-0082-4bba-bedb-8580ab52f164,128,False,1,0,1180.0,1180.0,7.91015625,7.91015625,0,0,39.834371
docker_ubuntu22_on_ubuntu20,cpuintensive,ba607f44-2def-470f-84ed-e30b36498c5e,79cf79fe-b155-406c-8191-7084c78b65d9,128,False,1,0,1190.0,1190.0,7.7734375,7.7734375,0,0,34.584079
docker_ubuntu22_on_ubuntu20,cpuintensive,ba607f44-2def-470f-84ed-e30b36498c5e,6fd28380-3ea4-4f6a-9dab-1d7f66c7b510,128,False,1,0,1150.0,1150.0,7.75,7.75,0,0,32.002054
docker_ubuntu22_on_ubuntu20,cpuintensive,ba607f44-2def-470f-84ed-e30b36498c5e,507772cb-8a59-4115-afa0-de49e8307510,128,True,1,0,1170.0,1170.0,7.8671875,7.8671875,0,0,50.732048
docker_ubuntu22_on_ubuntu20,cpuintensive,ba607f44-2def-470f-84ed-e30b36498c5e,04b566ea-2690-46d6-a5d6-fd91742c44d3,128,False,1,0,1180.0,1180.0,7.88671875,7.88671875,0,0,64.327289
docker_ubuntu22_on_ubuntu20,cpuintensive,ba607f44-2def-470f-84ed-e30b36498c5e,6b81d232-d31e-4ee7-b637-e4a3ef3fbce8,128,False,1,0,1230.0,1220.0,7.9375,7.9375,0,0,59.158967
docker_ubuntu22_on_ubuntu20,cpuintensive,ba607f44-2def-470f-84ed-e30b36498c5e,bab000d5-b12a-4517-94d7-266f19d8675b,128,False,1,0,1190.0,1190.0,7.75,7.75,0,0,45.747197
docker_ubuntu22_on_ubuntu20,cpuintensive,ba607f44-2def-470f-84ed-e30b36498c5e,a173e2ce-27a3-4cc7-987a-e9f8ca249a95,128,False,1,0,1200.0,1190.0,7.78515625,7.78515625,0,0,61.474819
docker_ubuntu22_on_ubuntu20,cpuintensive,ba607f44-2def-470f-84ed-e30b36498c5e,b408eb7d-f30d-41bc-8fcc-ae71d68e8c8b,128,True,1,0,1170.0,1170.0,7.96484375,7.96484375,0,0,51.410818
docker_ubuntu22_on_ubuntu20,cpuintensive,ba607f44-2def-470f-84ed-e30b36498c5e,c8230788-ba72-44e5-afbe-23fff4b03e4e,128,False,1,0,1160.0,1160.0,7.83984375,7.83984375,0,0,43.907419
docker_ubuntu22_on_ubuntu20,cpuintensive,ba607f44-2def-470f-84ed-e30b36498c5e,42ed5e2c-c729-4ffb-bed8-074622aa5085,128,False,1,0,1220.0,1210.0,7.91015625,7.91015625,0,0,44.70124
docker_ubuntu22_on_ubuntu20,cpuintensive,ba607f44-2def-470f-84ed-e30b36498c5e,1f392a86-9841-4ec1-8e06-d46bbe746783,128,False,1,0,1160.0,1160.0,7.890625,7.890625,0,0,38.887169
docker_ubuntu22_on_ubuntu20,cpuintensive,ba607f44-2def-470f-84ed-e30b36498c5e,50f6a280-a40d-46be-87ec-aa0e3ba533ba,128,False,1,0,1350.0,1350.0,7.91015625,7.91015625,0,0,49.35754
docker_ubuntu22_on_ubuntu20,cpuintensive,ba607f44-2def-470f-84ed-e30b36498c5e,213cc05a-ef8b-4a24-a8b2-119b8f6965da,128,True,1,0,1210.0,1210.0,7.7890625,7.7890625,0,0,40.441485
docker_ubuntu22_on_ubuntu20,cpuintensive,ba607f44-2def-470f-84ed-e30b36498c5e,cec15d2b-6770-4fa1-90f3-2229126ebf09,128,False,1,0,1160.0,1160.0,7.80859375,7.80859375,0,0,37.864405
docker_ubuntu22_on_ubuntu20,cpuintensive,ba607f44-2def-470f-84ed-e30b36498c5e,417df6a7-e83e-4c65-a0c1-54607b43dc6f,128,False,1,0,1160.0,1150.0,7.94140625,7.94140625,0,0,38.828025
docker_ubuntu22_on_ubuntu20,cpuintensive,ba607f44-2def-470f-84ed-e30b36498c5e,45109594-145c-4232-b26d-2dc1de6bcaf4,128,False,1,0,1160.0,1160.0,7.84375,7.84375,0,0,39.89034
docker_ubuntu22_on_ubuntu20,cpuintensive,ba607f44-2def-470f-84ed-e30b36498c5e,050e0e71-4123-4c0a-b587-3d09a846724c,128,False,1,0,1290.0,1280.0,7.8671875,7.8671875,0,0,43.02229
docker_ubuntu22_on_ubuntu20,cpuintensive,ba607f44-2def-470f-84ed-e30b36498c5e,81cc1de1-d056-44b9-a74f-1fcee38c1ed8,128,True,1,0,1190.0,1190.0,7.77734375,7.77734375,0,0,39.433676
docker_ubuntu22_on_ubuntu20,cpuintensive,ba607f44-2def-470f-84ed-e30b36498c5e,d9918a01-aed8-46c4-9581-9fbdf82504f5,128,False,1,0,1200.0,1200.0,7.68359375,7.68359375,0,0,40.229267
docker_ubuntu22_on_ubuntu20,cpuintensive,ba607f44-2def-470f-84ed-e30b36498c5e,745cf19d-4eec-488d-806c-b62d79016da7,128,False,1,0,1190.0,1190.0,7.90234375,7.90234375,0,0,39.81783
docker_ubuntu22_on_ubuntu20,cpuintensive,ba607f44-2def-470f-84ed-e30b36498c5e,b887c6e6-6d0e-4e55-b080-7b922d795fb9,128,False,1,0,1190.0,1190.0,7.74609375,7.74609375,0,0,39.259543
docker_ubuntu22_on_ubuntu20,cpuintensive,ba607f44-2def-470f-84ed-e30b36498c5e,68a4ba41-3af8-4f97-8ab5-9de493636284,128,False,1,0,1200.0,1200.0,7.7734375,7.7734375,0,0,40.214741
docker_ubuntu22_on_ubuntu20,cpuintensive,bc178090-9de4-4937-95be-409d41c0b34a,2307f594-9bda-4755-9dc0-eb29e91d882c,256,True,1,0,1190.0,1180.0,7.9609375,7.9609375,0,0,46.153568
docker_ubuntu22_on_ubuntu20,cpuintensive,bc178090-9de4-4937-95be-409d41c0b34a,6ac2d254-912a-4a1b-8154-b259ddf5e667,256,False,1,0,1220.0,1210.0,7.625,7.625,0,0,42.129347
docker_ubuntu22_on_ubuntu20,cpuintensive,bc178090-9de4-4937-95be-409d41c0b34a,295b7a39-6b16-4bef-bba3-f92775c03d7c,256,False,1,0,1210.0,1210.0,7.75,7.75,0,0,40.3503
docker_ubuntu22_on_ubuntu20,cpuintensive,bc178090-9de4-4937-95be-409d41c0b34a,05657b6c-446c-4ddf-b4fe-34f1c7453910,256,False,1,0,1150.0,1150.0,7.78125,7.78125,0,0,38.416589
docker_ubuntu22_on_ubuntu20,cpuintensive,bc178090-9de4-4937-95be-409d41c0b34a,86220029-a2e0-4dd7-8323-1a5ff95c6671,256,False,1,0,1150.0,1150.0,7.84765625,7.84765625,0,0,39.247336
